စဉ်,"ကုမ္ပဏီအမည်
",ခွင့်ပြုမိန့်/ အတည်ပြုမိန့်အမှတ်,ရင်းနှီးမြှုပ်နှံမှု ပုံစံ,လုပ်ငန်းအမျိုးအစား, လုပ်ငန်းတည်နေရာ,"ရင်းနှီးမြှုပ်နှံမှု
စုစုပေါင်း ပမာဏ(USD in Million)",ထုတ်ကုန် အမျိုးအစား,ကုန်ကြမ်း အမျိုးအစား,ရင်းနှီးတိုး,ရင်းနှီးလျော့,"YRIC 
အစည်းအဝေး", ဝန်ထမ်း,, ဝန်ထမ်း,,"ရင်းနှီးမြှုပ်နှံမှု
သက်တမ်း",နိုင်ငံ,မှတ်ချက်,ဆက်သွယ်ရမည့်အမည်/ဖုန်းနံပါတ်,"ကုမ္ပဏီမှတ်ပုံတင်
အမှတ်",ရင်းနှီးမြှုပ်နှံမှုကဏ္ဍ,ဘဏ် ငွေစာရင်းအမှတ် နှင့် ဘဏ်အမည်,မြေဧရိယာ ,"မြေဧရိယာ 
တိုး","မြေဧရိယာ 
လျော့ချ"," အတည်ပြုမိန့်
ပြည်လည်
အပ်နှံခြင်း",လတ္တီကျူ/ လောင်ဂျီကျူ,စီးပွားဖြစ်စ,တည်ဆောက်ရေးကာလ,ရင်းနှီးမြှုပ်နှံသူ/ ကမကထအမည်ပြောင်း,"အတည်ပြုမိန့် မူရင်းနှင့်
 ဆုံးဖြတ်ချက်မူရင်း
ပြန်လည်အပ်နှံခြင်း"
၃၅၁,"Myanmar Fortress
Wealth Garment
Company Ltd






















 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၃၉၉/၂၀၂၀
(၁၅.၇.၂၀၂၀ )",,CMP စနစ်ဖြင့် အဝတ်အထည်ချုပ်လုပ် ခြင်းလုပ်ငန်း,"Unit A5၊ မြေကွက်အမှတ် - E2, E3, E6, E7, E8, E9, E10၊ မြေတိုင်း ရပ်ကွက်အမှတ်-၂၀၊ အနော်ရထာစက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။

 


















","အမေရိကန်
ဒေါ်လာ
၃.၄၆၆ သန်း












",,,,,,,,,,၃၀,,,၀၉-၉၆၁၇၀၆၁၇၀,,,,,,,,"16.8681318, 96.0207863",,,,
၃၅၂,"Myanmar Dihuali
Garment Co., Ltd.





















 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၀၀/၂၀၂၀
(၁၅.၇.၂၀၂၀ )",,"CMP စနစ်ဖြင့် အဝတ်အထည်ချုပ်
လုပ်ခြင်းလုပ်ငန်း","Unit # A10 ၊ မြေကွက်အမှတ်(E2, E3, E6, E7, E8, E9, E10)၊ မြေတိုင်းရပ်ကွက်အမှတ် ၂၀၊ အနော်ရထာ စက်မှုဇုန်၊ လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး

 


















"," အမေရိကန်
ဒေါ်လာ
၃.၆၂၆ သန်း












",,,,,"YRIC 3-2022
23-3-2022
တည်ဆောက်ရေးပကြိမ်တိုးမြှင့်ခြင်း၊ YRIC 8-2022
24-8-2022
ရင်းနှီးမြှုပ်နှံမှုပုံစံ ပြင်ဆင်ခြင်း
YRIC 12-2022
14-12-2022
ကမကထပြုသူအမည်ပြောင်းခြင်း (မူလ Mr. Chu Mingxin မှ Mr. Liu Xiao Wei )",၁၃၄၀,၁၀,,,၃၀,China,,"Daw Shwe Pyi Eai
09-254144529",၁၂၁၃၅၅၆၄၇,စက်မှု,"KBZ Bank
20610920602178501","၁၉.၆၃၅ ဧက 
အနက်မှ
၁.၈၁၆ ဧက
၇၃၄၉.၀၉၁၃ 
စတုရန်းမီတာ
",,,,"16.52070,96.01129",၁၄-၇-၂၀၂၂,,,
၃၅၃,"Hanvico
International
Company Ltd






















 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၀၁/၂၀၂၀
(၁၅.၇.၂၀၂၀ )",,"ဟိုတယ်ဝန်ဆောင်မှု
လုပ်ငန်း","မြေကွက်အမှတ်- ၁၃/က၁E.2.D၊ မြေတိုင်း
ရပ်ကွက်အမှတ်- ၆၁၊ ကံဘဲ့၊ အင်းယား
ရိပ်သာလမ်း၊ မရမ်းကုန်း
မြို့နယ်၊ ရန်ကုန်တိုင်း
ဒေသကြီး။


 


















","အမေရိကန်
ဒေါ်လာ
၂.၅၀၀ သန်း













",,,,,,,,,,,,,၀၉-၇၉၇၉၉၆၈၆၈,,,,,,,,,,,,
၃၅၄,"Beaume
International
Garment
Manufacturing
Ltd.






















 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၀၂/၂၀၂၀
(၁၅.၇.၂၀၂၀ )",,"CMP စနစ်ဖြင့် အဝတ်အထည်ချုပ်
လုပ်ခြင်းလုပ်ငန်း","မြေကွက်အမှတ် ၂၅၊ လှိုင်သာယာစက်မှုဇုန် (၂)၊ လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး




 


















","အမေရိကန်
ဒေါ်လာ
၂.၀၀ သန်း













",,,,,,,,,,,,,၀၉-၉၆၅၄၈၉၁၂၇,,,,,,,,,,,,
၃၅၅,"Mountain Tree
Idustrial
Company
Limited























 







",အတည်ပြုမိန့်အမှတ် ရကတ- ၄၀၃/၂၀၂၀ (၁၅.၇.၂၀၂၀ ),,CMP စနစ်ဖြင့် ဦးထုတ်အမျိုးမျိုး ထုတ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ် (၁၈၂/၅+၆+၇+၈)၊ မြေတိုင်းရပ်ကွက်အမှတ် ၂၅၊ ရွှေလင်ပန်းစက်မှုမြို့၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး




 


















","အမေရိကန်
ဒေါ်လာ
၂.၇၁၄ သန်း















",,,,,,,,,,,,,၀၉-၆၈၇၈၀၁၈၃၀,,,,,,,,"16.873892, 96.001286",,,,
၃၅၆,"Glory Home (Myanmar) 
Company Limited
 

















","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၀၅/၂၀၂၀
(၁၄.၈.၂၀၂၀ )",,CMP စနစ်ဖြင့် Foam & Foam Mattress အမျိုးမျိုး ထုတ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ်- E-1၊,E3,E5၊ မြေတိုင်း ရပ်ကွက် အမှတ်- ၂၁၊ မြစိမ်းရောင် စက်မှုဇုန် (၃)၊  လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး




 




",၄.၃၅၅,,,,,,,,,,,,,၀၉-၄၂၁၀၂၈၅၇၃,,,,,,,,"16.981715, 96.048009",,,,
၃၅၇,"  Topmode
( Myanmar)
Company Ltd 






















 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၀၇/၂၀၂၀
(၁၄.၈.၂၀၂၀ )",,"CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုးထုတ်လုပ်ခြင်း
လုပ်ငန်း","မြေကွက်အမှတ်-၁၁၃၊ မြေတိုင်းရပ်ကွက်-၄၉၊ ဝါးတရာ စက်မှုဇုန်၊ ရွှေပြည်သာမြို့နယ်၊   ရန်ကုန်တိုင်းဒေသကြီး



 


















",၂.၆၀၉,,,"0.5*


၀.၃၈၉*",,"1/2021
20-1-2021
ရင်းနှီတိုး
12/2022
14-12-2022
ရင်းနှီတိုး",၇၀၆,၁၅,,,၅၀ နှစ်,Samoa,,၀၉-၉၈၇၀၁၅၉၈၈,၁၂၄၀၆၇၈၃၉,စက်မှု,"E. SUN Yangon Bank
913-2101-00-3260",4.206,,,,"16.984792, 96.087287",,,,
၃၅၈,"  Kai-Xin Enterprise  
Company Limited






















 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၀၈/၂၀၂၀
(၂၈.၈.၂၀၂၀ )",,CMP စနစ်ဖြင့် modern Furniture အမျိုးမျိုးထုတ်လုပ် ခြင်း လုပ်ငန်း ,"မြေကွက်အမှတ် (၃၀၇၊ ၃၀၈၊ ၃၀၉)၊ မြေတိုင်းရပ်ကွက် အမှတ် (၄၉)၊ ဝါးတရာ စက်မှုဇုန်၊ ရွှေပြည်သာ မြို့နယ်၊   ရန်ကုန်တိုင်း ဒေသကြီး 



 


















","၄.၅၃၂ 


",,,,,,,,,,,,"ပထမအကြိမ်
တည်တိုး ၂၈-၈-၂၀၂၂ ",၀၉-၉၆၄၃၅၀၂၅၈,,,,၁၀.၉၇ ဧက (၄၄၄၂၆.၃၈၉၈ စတုရန်းမီတာ) ,,၁၀.၉၇ ဧက (၄၄၄၂၆.၃၈၉၈ စတုရန်းမီတာ) ,,,,,,
၃၅၉,"  B.C.C. Jewelry MFG. Company Ltd   






















 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၀၉/၂၀၂၀
(၂၈.၈.၂၀၂၀ )",,CMP စနစ်ဖြင့် artificial jewellery ထုတ်လုပ်ခြင်း လုပ်ငန်း ,"မြေကွက်အမှတ်- ၃၇၊၃၈၊ မြေတိုင်း ရပ်ကွက် အမှတ် - (၁၀၉)၊    စက်မှု၊ ဒဂုံမြို့သစ် အရှေ့ပိုင်း မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး 




 


















"," ၃.၀၀၀










",,,,,,,,,,၃၀,,,၀၉-၅၅၅၇၃၇၃,,,,,,,,"16.912197, 96.074021",17-12-2022,,,
၃၆၀,"Jun Sheng 
Garment
Company Ltd   






















 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၁၀/၂၀၂၀
(၂၈.၈.၂၀၂၀ )",,CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုးထုတ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ်- ၄၈၂၊ မြေတိုင်းရပ်ကွက်အမှတ်-၂၅၊ ရွှေလင်ဗန်း စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။




 


















","အမေရိကန်
ဒေါ်လာ ၁.၄၂၀ သန်း 


















",,,,,,,,,,,,,၀၉-၉၆၂၇၇၂၇၈၈,,,,,,,,"16.894962, 96.253352",,,,
၃၆၁,"3R  Non Woven  
Manufacture
 Company 
Limited






















 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၁၁/၂၀၂၀
(၂၈.၈.၂၀၂၀ )",,CMP စနစ်ဖြင့် အိတ် မျိုးမျိုးထုတ်လုပ် ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ်-၄၀ မြေတိုင်းရပ်ကွက်-၁၄၄၊ ဒဂုံမြို့သစ် တောင်ပိုင်း စက်မှုဇုန်၊ ဒဂုံမြို့သစ် တောင်ပိုင်း မြို့နယ်၊   ရန်ကုန်တိုင်း ဒေသကြီး




 


















","အမေရိကန်
ဒေါ်လာ ၁.၀၀၀ သန်း 


















",,,,,,,,,,,,,Mr.Li Fuyun                  ၀၉-၇၇၇၇၇၉၆၆၂,,,,,,,,"16.775428, 96.157528",,,,
၃၆၂,"Miyako Food
 Myanmar 
Company  Limited






















 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၁၂/၂၀၂၀
(၂၈.၈.၂၀၂၀ )",,"နှမ်းဆီမွှေး၊နှမ်းဆီနှင့် နှမ်းကွတ်ကီး ထုတ်လုပ်ဖြန့်ဖြူး
ရောင်းချခြင်းလုပ်ငန်း","မြေကွက်အမှတ်- ၅၀+၅၁၊ မြေတိုင်းရပ်ကွက်အမှတ်- ၄၂ (စက်မှု)၊ စက်မှုဇုန်အပိုင်း(၁)၊ ရွှေပြည်သာ မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး



 


















","အမေရိကန်
ဒေါ်လာ ၀.၇၀၀ သန်း 


















",,,,,,,,,,,,,၀၉-၂၆၁၆၇၃၇၃၃,,,,,,,,,,,,
၃၆၃,"Good Luck Sports Myanmar Limited 























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၁၄/၂၀၂၀
(၂၈.၉.၂၀၂၀ )
",,CMP စနစ်ဖြင့် အိတ် အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း ,"မြေကွက်အမှတ်- ၇၆၊ မြေတိုင်းရပ်ကွက်
အမှတ်၄၉(ဝါးတရာ
စက်မှုဇုန်)၊ ရွှေပြည်သာ မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး


 


















","အမေရိကန်
ဒေါ်လာ
၁.၅၀၀  သန်း
















",,,,,,,,,,,,,၀၉-၇၆၉၅၂၀၉၉၉,,,,,,,,"16.911678, 96.063680",,,,
၃၆၄,"Myanmar Para Light LED & Lighting Accessory Co., Ltd 

























 







",အတည်ပြုမိန့်အမှတ် ရကတ- ၄၁၅/၂၀၂၀ (၂၈.၉.၂၀၂၀ ),,"LED နှင့် lighting accessories ထုတ်လုပ် ခြင်း လုပ်ငန်း မှ
CMP စနစ်ဖြင့် LED နှင့် lighting accessories      ထုတ်လုပ်ခြင်း လုပ်ငန်း
သို့ ပြင်ဆင်ခြင်း","မြေကွက် အမှတ် (၂၁၂)၊ မြေတိုင်းရပ်ကွက်အမှတ်  (၂၅)၊ ရွှေလင်ဗန်းစက်မှုမြို့၊ လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး 



 


















","အမေရိကန်
ဒေါ်လာ
၄.၅၀၀   သန်း
















",,,"2.00*


0.5*
",,"4/2022
27-4-2022
9/2022
28-9-2022
11/2022
25-11-2022
ရင်းနှီးမြှုပ်နှံမှုလုပ်ငန်းအမျိုးအစား
ပြင်ဆင်ခြင်း",၂၆၇,၁၀,,,၅၀,,,၀၉-၅၁၁၄၇၂၁,101112616,Industry,"OCBC Bank
0033924020","၁.၂၇၈ ဧက
၅၁၇၁.၈၈၂၅
စတုရန်းမီတာ",,,,"16.91161,96.06368",,,,
၃၆၅,"Qi Cai (Myanmar) Company Limited 
























 







"," အတည်ပြုမိန့်အမှတ် ရကတ- ၄၁၆/၂၀၂၀
(၂၈.၉.၂၀၂၀ ) ",,CMP စနစ်ဖြင့် အဝတ်အထည်အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း ,"မြေကွက်အမှတ်- ၇၊ မြေတိုင်း ရပ်ကွက် အမှတ် ၂၅၊ ရွှေလင်ပန်းစက်မှုမြို့၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး



 


















","အမေရိကန်
ဒေါ်လာ
၁.၀၈၅   သန်း
















",,,,,,,,,,,,,၀၉-၇၉၀၉၇၇၇၇၇,,,,,,,,,,,,
၃၆၆,"Well Success Investment Co., Ltd 
























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၁၇/၂၀၂၀
(၂၈.၉.၂၀၂၀ )",,"CMP စနစ်ဖြင့် အဝတ်အထည်
အမျိုးမျိုးချုပ်လုပ်ခြင်း  လုပ်ငန်း ","မြေကွက်အမှတ် ၁၈၁၊ ရန်ကုန် စက်မှုဇုန်၊ မင်္ဂလာဒုံမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး



 


















","အမေရိကန်
ဒေါ်လာ
၃.၈၆၄ သန်း
















",,,,,,,,,,,,,၀၉-၉၅၈၈၅၈၅၈၈,,,,,,,,,,,,
၃၆၇,"Rong Da 
Garments 
Co., Ltd 




","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၁၈/၂၀၂၀
(၂၈.၉.၂၀၂၀ )
",,"CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုးချုပ်လုပ်ခြင်း
လုပ်ငန်း ","မြေကွက်အမှတ် -(၁၆၃+ ၁၆၄)၊ မြေတိုင်း ရပ်ကွက် အမှတ် ၄၉၊ ဝါးတစ်ရာ စက်မှုဇုန်၊ ရွှေပြည်သာ မြို့နယ်၊  ရန်ကုန်တိုင်း ဒေသကြီး






","အမေရိကန်
ဒေါ်လာ
၁.၃၆၈  သန်း
















",,,,,,,,,,,,,၀၉-၂၅၈၃၆၁၀၉၀,,,,,,,,,,,,
၃၆၈,"Prisen 
Guo(Myanmar)
Apparel Co., Ltd Ltd
























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၁၉/၂၀၂၀
(၂၈.၉.၂၀၂၀ )
",,CMP စနစ်ဖြင့် အဝတ်အထည်အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ်- ၁၄၂၊၁၄၃၊၁၄၄၊၁၄၅၊၁၄၆၊ မြေတိုင်း ရပ်ကွက် အမှတ် ၄၉ (ဝါးတရာစက်မှု)၊ ရွှေပြည်သာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး




 


















","အမေရိကန်
ဒေါ်လာ
၃.၄၁၀  သန်း
















",,,,,,,,,,,,,၀၉-၄၀၇၃၄၅၀၀၂,,,,,,,,,,,,
၃၆၉,"Khanh Nhi Steel Manufacturing Co., Ltd

























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၂၀/၂၀၂၀
(၁၆.၁၀.၂၀၂၀ )",,"သံ၊ အလူမီနီယံနှင့်  Galvanize Iron အခြေခံသော ဆောက်လုပ်ရေး လုပ်ငန်းသုံးပစ္စည်း
များ ထုတ်လုပ် ဖြန့်ဖြူးရောင်းချခြင်း လုပ်ငန်း","မြေကွက်အမှတ် (၆၉)၊ မြေတိုင်းရပ်ကွက်အမှတ် (၂၅)၊ ရွှေလင်ပန်းစက်မှုမြို့၊ လှိုင်သာယာမြို့နယ်၊   ရန်ကုန်တိုင်း ဒေသကြီး





 


















","အမေရိကန်
ဒေါ်လာ
၁.၀၀၀  သန်း
















",,,,,,,,,,,,,၀၉-၆၈၅၀၀၃၈၃၈,,,"Ms. Dam Thi Thu 
damthithu07@gmail. com
မြေကွက်အမှတ် (၆၉)၊ မြေတိုင်းရပ်ကွက်အမှတ် (၂၅)၊ ရွှေလင်ပန်းစက်မှုမြို့၊ လှိုင်သာယာမြို့နယ်၊   ရန်ကုန်တိုင်း ဒေသကြီး






",,,,,,,,,
၃၇၀,"Kamra Manufacturing (Myanmar) Co., Ltd























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၂၁/၂၀၂၀ (၁၆.၁၀.၂၀၂၀ )
",,CMP စနစ်ဖြင့် အဝတ်အထည်  ချုပ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ်- ၅၆/A ၊ မြေတိုင်းရပ်ကွက် အမှတ်-၆၅ (စက်မှု)၊ စက်မှုဇုန်အပိုင်း (၄) ၊ ရွှေပြည်သာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။





 


















","အမေရိကန်
ဒေါ်လာ
၀.၉၀၄  သန်း
















",,,,,,,,,,,,,၀၉-၇၉၈၂၃၇၀၁၇,,,"Ms. Lyu Jian Xiu
09-798237017, 09-421522599
daoruishu@gmail.com
မြေကွက်အမှတ်- ၅၆/A ၊ မြေတိုင်းရပ်ကွက် အမှတ်-၆၅ (စက်မှု)၊ စက်မှုဇုန်အပိုင်း (၄) ၊ ရွှေပြည်သာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။






",,,,,"16.893053, 96.237340",,,,
၃၇၁,"Westwood Myanmar Co., Ltd 


























 







",အတည်ပြုမိန့်အမှတ် ရကတ- ၄၂၂/၂၀၂၀ (၁၆.၁၀.၂၀၂၀ ),,CMP စနစ်ဖြင့် အဝတ်အထည်အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ် ၁၄၉/၃၊ ၁၄၉/၄၊ ၁၄၉/၅၊ ၁၄၉/၆၊ မြေတိုင်း ရပ်ကွက်အမှတ် ၁၁၃၊ ဒဂုံမြို့သစ်အရှေ့ပိုင်း စက်မှုဇုန်၊ ဒဂုံမြို့သစ် အရှေ့ပိုင်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး






 


















","အမေရိကန်
ဒေါ်လာ
၅.၀၀၀   သန်း
















",,,,,,,,,,,,,၀၉-၄၂၈၆၆၇၃၂၇,,,"Mr. Jung Haejin
westwoodmyanmar2020@gmail.com
မြေကွက်အမှတ် ၁၄၉/၃၊ ၁၄၉/၄၊ ၁၄၉/၅၊ ၁၄၉/၆၊ မြေတိုင်း ရပ်ကွက်အမှတ် ၁၁၃၊ ဒဂုံမြို့သစ်အရှေ့ပိုင်း စက်မှုဇုန်၊ ဒဂုံမြို့သစ် အရှေ့ပိုင်းမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး






",,,,,,,,,
၃၇၂,"South Victory Shoes Company Limited




























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၂၃/၂၀၂၀
(၃.၁၁.၂၀၂၀ )",,"CMP စနစ်ဖြင့် ဖိနပ်အမျိုးမျိုးချုပ်
လုပ်ခြင်းလုပ်ငန်း","မြေကွက်အမှတ်- ၁၂၊ မြေတိုင်း ရပ်ကွက် အမှတ် ၁၄၃/၁၊ ဒဂုံမြို့သစ်တောင်ပိုင်း
မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး






 


















","အမေရိကန်
ဒေါ်လာ
၁.၆၅၀   သန်း
















",,,,,,,,,,,,,၀၉-၉၅၃၁၁၀၈၈၈,,,,,,,,,,,,
၃၇၃,"Unippro Apparel Company  Limited 



























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၂၄/၂၀၂၀
(၃.၁၁.၂၀၂၀ )",,CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ် (၉၅+၉၆)၊ မြေတိုင်း ရပ်ကွက်အမှတ် (၅၁)၊ သာဓုကန် စက်မှုဇုန်၊ ရွှေပြည်သာမြို့နယ်၊   ရန်ကုန်တိုင်း ဒေသကြီး






 


















","အမေရိကန်
ဒေါ်လာ
၁.၀၀၀    သန်း
















",,,,,,,,,,,,,၀၉-၇၇၁၁၇၉၉၆၁,,,,,,,,,,,,
၃၇၄,"Dagon Win Garment Factory Company Limited 



























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၂၅/၂၀၂၀
(၁.၁၂.၂၀၂၀ )",,CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုး ချုပ်လုပ်ခြင်းလုပ်ငန်း,"မြေကွက်အမှတ်- ၁၀၃၊ မြေတိုင်းရပ်ကွက်အမှတ်- စက်မှုဇုန် (၅)၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး။






 


















","  ၀.၉၀၄ 



",,,,,,,,,,,,,၀၉-၉၅၃၀၉၇၈၇,,,,,,,,,,,,
၃၇၅,"Rixin Metal Products Co.,Limited 


























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၂၆/၂၀၂၀
(၂၈.၁၂.၂၀၂၀ )
",,ဆောက်လုပ်ရေးလုပ်ငန်းသုံး လူမီနီယံချောင်းများ ထုတ်လုပ်ခြင်းလုပ်ငန်း,"မြေကွက်အမှတ် ၁၇၂၊ ၁၇၃ အနက် မြေကွက်အမှတ် ၁၇၂၊ မြောင်းတကာသံမဏိစက်မှု
ဇုန်၊ မှော်ဘီမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသ မှ 
မြေကွက်အမှတ် ၁၇၃  မြောင်းတကာသံမဏိစက်မှု
ဇုန်၊ မှော်ဘီမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသ သို့ပြောင်းရွေ့",၀.၆၈,,,,,"3/2022
23-3-2022",၃၀,၅,,,၃၀,China,,"၀၉-၂၀၂၉၄၉၄
Mr. Guo Guangqin 
092029494
rixnm915@gmail.com",,,,"၄.၅၉၈ ဧက အနက်မှ
2.5 ဧက
(10117.141)
စတုရန်းမီတာ
",,,,,,,,
၃၇၆,"Shuangfei Garment (Myanmar) Company Limited





























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၂၇/၂၀၂၀
(၃၀-၁၂-၂၀၂၀)",,CMP စနစ်ဖြင့် Underwear အမျိုးမျိုး ချုပ်လုပ်ခြင်းလုပ်ငန်း,"မြေကွက် အမှတ် - ၂၁၁၊ မြေတိုင်းရပ်ကွက် အမှတ်-ဇုန်(၂)၊ စက်မှုဇုန်၊ လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး







 


















",၁.၄၂,,,,,,,,,,,China,,၀၉-၇၉၄၈၈၈၆၁၈,,,"Mr.Jing Shulin
Jingshuanglin472@gmail.com
မြေကွက် အမှတ် - ၂၁၁၊ မြေတိုင်းရပ်ကွက် အမှတ်-ဇုန်(၂)၊ စက်မှုဇုန်၊ လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး၊

","ဧက အနက်မှ
၂.၀၁၅ဧက
(၈၁၅၄.၄၃)
စတုရန်းမီတာ
",,,"YRIC (9/2022)
28-9-2022
အတည်ပြုမိန့်
ပြန်အပ်ပြီးဖြစ်ပါသည်။",,,,,
၃၇၇,"Myanmar Htan  
 Ta Pin Garment 
Company Limited 





























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၂၈/၂၀၂၁
(၂၂-၁-၂၀၂၁)",,CMP စနစ်ဖြင့် အဝတ်အထည် ချုပ်လုပ်ခြင်းလုပ်ငန်း ,"ဦးပိုင်အမှတ် ၂၃/က၊ ၂၃/ခ၊ အကွက်အမှတ်(၁) ကံကြီးကုန်း၊ အမှတ်(၄)ရပ်ကွက်၊ ထန်းတပင်မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး 








 


















","အမေရိကန် ဒေါ်လာ ၁.၁၂၀ သန်း(အမေ
ရိကန်ဒေါ်လာ ၀.၃၉၂ သန်းအပါအဝင်)

















",,,,,,၆၅၀,၁၀,,,၃၀,China,,၀၉-၆၉၆၈၈၈၅၈၈,"122343766
26-9-2019",,,,,,,,,,,
၃၇၈,"Nagasaki 
Fish Sauce
 Company 
Limited 





























 







","အတည်ပြုမိန့်အမှတ် ရကတ- ၄၂၉/၂၀၂၁
(၂၂-၁-၂၀၂၁)",,ငံပြာရည် ထုတ်လုပ်ခြင်း၊ ရောင်းချခြင်း နှင့် ဖြန့်ဖြူးခြင်း လုပ်ငန်း,"မြေကွက်အမှတ်- ၅၃၊၅၄ ၊ မြေတိုင်း ရပ်ကွက် အမှတ် ၁၇၂၊ စက်မှုဇုန်(၃)၊ ဒဂုံမြို့သစ်(ဆိပ်ကမ်း) မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး 







 


















","အမေရိကန် ဒေါ်လာ ၁.၉၈၀ သန်း(အမေရိကန်ဒေါ်လာ ၁.၁၈၈ သန်း အပါအဝင်)
",,,,,,,,,,,,,၀၉-၇၈၂၀၁၈၅၀၅,,,,,,,,,,,,
